product_id;product_name;prezzoAcquisto;id;category;price;cost;costoproduzione_foodbev;costoproduzione_materiali;costoproduzione_extra;costoproduzione_personale;costoproduzione_struttura;costoproduzione_consumi
719;BABY PROSC;1,35;760;29;4,5;0,45;0,225;0,09;0,135;0,675;0,225;0,45
72;BISMARK;1,65;72;6;5,5;0,55;0,275;0,11;0,165;0,825;0,275;0,55
720;BABY RUSTICA;1,8;761;29;6;0,6;0,3;0,12;0,18;0,9;0,3;0,6
721;BABY SFIZIOSA;1,95;762;29;6,5;0,65;0,325;0,13;0,195;0,975;0,325;0,65
722;BABY SICILIANA;1,35;763;29;4,5;0,45;0,225;0,09;0,135;0,675;0,225;0,45
723;BABY SPECK E BRIE;1,8;764;29;6;0,6;0,3;0,12;0,18;0,9;0,3;0,6
724;BABY STRAC.RUC;1,5;765;29;5;0,5;0,25;0,1;0,15;0,75;0,25;0,5
725;BABY VALDOSTANA;1,5;766;29;5;0,5;0,25;0,1;0,15;0,75;0,25;0,5
726;BABY VEGETARIANA;1,95;767;29;6,5;0,65;0,325;0,13;0,195;0,975;0,325;0,65
737;VALCHIRIA;2,1;778;9;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
738;CARMEN;2,1;779;9;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
74;PAZZA;2,25;74;6;7,5;0,75;0,375;0,15;0,225;1,125;0,375;0,75
748;FUNGHI FRESCHI;0,6;789;19;2;0,2;0,1;0,04;0,06;0,3;0,1;0,2
749;FUNGHI FRESCHI;0;790;12;0;0;0;0;0;0;0;0
75;ASPARAGI;2,1;75;6;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
750;CASTELMAGNO;0;791;19;0;0;0;0;0;0;0;0
751;FLAN PORCINI;0;792;19;0;0;0;0;0;0;0;0
752;BATTUTA;0;793;19;0;0;0;0;0;0;0;0
753;FONDUTA;0;794;19;0;0;0;0;0;0;0;0
755;RICOTTA;1,05;801;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
756;CROSTONE SALMO;2,4;802;32;8;0,8;0,4;0,16;0,24;1,2;0,4;0,8
757;VOUL AU VENT;2,1;803;32;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
758;AMORINI;2,25;804;32;7,5;0,75;0,375;0,15;0,225;1,125;0,375;0,75
759;GARGANELLI;2,1;805;32;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
76;BOSCAIOLA;2,25;76;6;7,5;0,75;0,375;0,15;0,225;1,125;0,375;0,75
760;BRANZINO MEDIT;4,05;806;32;13,5;1,35;0,675;0,27;0,405;2,025;0,675;1,35
761;BICCH.CELLARIUS ROSE';1,35;807;32;4,5;0,45;0,225;0,09;0,135;0,675;0,225;0,45
762;BICCH.CELLARIUS BRUT;1,2;808;32;4;0,4;0,2;0,08;0,12;0,6;0,2;0,4
763;BICCH.MOSCATO;1,05;809;32;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
764;BICCH.BOLGHERI;1,2;810;32;4;0,4;0,2;0,08;0,12;0,6;0,2;0,4
765;ANT.MIX;3;811;33;10;1;0,5;0,2;0,3;1,5;0,5;1
766;ANT.SINGOLO;2,1;812;33;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
767;MIX. MARE;2,1;813;33;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
768;MIX.TERRA;2,1;814;33;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
769;SP.SCOGLIO;3,15;815;33;10,5;1,05;0,525;0,21;0,315;1,575;0,525;1,05
77;SPECK E PANNA;1,95;77;6;6,5;0,65;0,325;0,13;0,195;0,975;0,325;0,65
770;SP.VONGOLE;2,55;816;33;8,5;0,85;0,425;0,17;0,255;1,275;0,425;0,85
771;TAGL.PORC;2,1;817;33;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
772;TAGL.VECCHIA;2,25;818;33;7,5;0,75;0,375;0,15;0,225;1,125;0,375;0,75
